horse_id,sire,dam_sire
2022110012,Catholic Boy,Distorted Humor
2022106647,キズナ,War Front
2021105491,アルアイン,Medaglia d'Oro
2020104415,サクラオリオン,サクラバクシンオー
2020100759,ドレフォン,メジロベイリー
2022110112,Frosted,Reload
2021102164,シルバーステート,アドマイヤムーン
2021103519,スクリーンヒーロー,アグネスデジタル
2020100177,ロードカナロア,Shirocco
2022104784,キズナ,ハービンジャー
2020106966,ダノンバラード,キャプテンスティーヴ
2022100084,ヘンリーバローズ,ルーラーシップ
2022103345,ウォータービルド,キングヘイロー
2021106993,Saxon Warrior,Dark Angel
2021102115,オルフェーヴル,シンボリクリスエス
2021106827,エピファネイア,ステイゴールド
2020105183,ゴールドシップ,ボストンハーバー
2018105199,ディープブリランテ,ディープスカイ
2021104978,ハービンジャー,クロフネ
2021106826,ダノンバラード,コンデュイット
2020101184,ダノンバラード,ダイタクリーヴァ
2018106314,キズナ,アドマイヤコジーン
2021100789,シルバーステート,ホワイトマズル
2021102246,リアルスティール,ハービンジャー
2021105011,キズナ,Pure Prize
2021102510,スワーヴリチャード,ルーラーシップ
2020100809,ダノンバラード,タイキシャトル
2019105462,ハーツクライ,Concorde's Tune
2021105442,Saxon Warrior,Siyouni
2020103920,エピファネイア,ジャングルポケット
2021101724,サトノダイヤモンド,ヴィクトワールピサ
2020103009,キズナ,Lord of England
2020106667,サトノクラウン,ディープインパクト
2022104812,シスキン,マンハッタンカフェ
2019107025,オルフェーヴル,サクラバクシンオー
2019101612,ディープインパクト,Curlin
2020103279,マインドユアビスケッツ,ディープインパクト
2020102187,シニスターミニスター,ヴァーミリアン
2020100387,ホッコータルマエ,アグネスタキオン
2022100098,ナダル,ヴァーミリアン
2021105789,レイデオロ,フジキセキ
2022106609,シニスターミニスター,ディープインパクト
2021103209,ゴールドシップ,メイショウボーラー
2019104592,キタサンブラック,フレンチデピュティ
2020103967,ラニ,スキャターザゴールド
2021104777,ダイワメジャー,Harlan's Holiday
2022107288,リアルスティール,ハービンジャー
